"Actions","Tindakan"
"Add Answer","Tambahkan Jawaban"
"Add New Answer","Tambahkan Jawaban Baru"
"Add New Poll","Tambahkan Polling Baru"
"Answer Title","Judul Jawaban"
"Answer Title:","Judul Jawaban:"
"Answer with the same title in this poll","Jawab dengan judul yang sama dalam polling ini"
"Are you sure you want to delete it?","Anda yaking ingin menghapusnya?"
"Assigned Answers","Jawaban yang Ditugaskan"
"Closed","Ditutup"
"Community Poll","Polling Komunitas"
"Date Closed","Tanggal Ditutup"
"Date Posted","Tanggal Diposting"
"Delete","Hapus"
"Delete Answer","Hapus Jawaban"
"Delete Poll","Hapus Polling"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Larang Voting dalam Beberapa Kali Polling dari alamat-IP yang sama"
"Edit Answer '%s'","Edit Jawaban '%s'"
"Edit Poll '%s'","Edit Polling '%s'"
"Edit Poll Answer","Edit Jawaban Polling"
"ID","ID"
"Invalid Answer.","Jawaban Tidak Valid."
"New Poll","Polling Baru"
"Number of Responses","Jumlah Tanggapan"
"Open","Buka"
"Poll Answers","Jawaban Polling"
"Poll Information","Informasi Polling"
"Poll Manager","Pengelola Polling"
"Poll Question","Pertanyaan Polling"
"Poll information","Informasi Polling"
"Poll with the same question","Polling dengan pertanyaan yang sama"
"Polls","Polling"
"Save Answer","Simpan Jawaban"
"Save Poll","Simpan Polling"
"Status","Status"
"The answer has been saved.","Jawaban telah tersimpan."
"The poll does not exist.","Polling tida ada."
"Unable to find an answer to delete.","Tidak dapat menemukan jawaban untuk dihapus."
"Visible In","Terlihat Di"
"Vote","Pilihan"
"Votes Count","Jumlah Pilihan"
"Votes Count:","Jumlah Pilihan:"
