"Add Recipient","Tambah Penerima"
"Allow for Guests","Izinkan untuk Pengunjung"
"An invalid email address for recipient was entered.","Alamat email yang tidak valid untuk penerima telah dimasukkan."
"At least one recipient must be specified.","Setidaknya satu penerima harus ditentukan."
"Back","Kembali"
"Catalog Product Email to a Friend","Katalog Produk Email ke Teman"
"Email Address","Alamat Email"
"Email Address:","Alamat Email:"
"Email Templates","Template Email"
"Email to a Friend","Email ke Teman"
"Email:","Email:"
"Enabled","Dinyalakan"
"Invalid Sender Information","Informasi Pengirim Tidak Valid"
"Invalid sender email.","Pengirim email tidak valid."
"Limit Sending By","Batas Mengirim Dengan"
"Max Products Sent in 1 Hour","Produk Maksimal Dikirim dalam 1 Jam"
"Max Recipients","Penerima Maksimal"
"Maximum %d email addresses allowed.","Maksimal %d alamat email yang diizinkan."
"Message:","Pesan:"
"Name","Nama"
"Name:","Nama:"
"No more than %d emails can be sent at a time.","Tidak lebih dari %d email bisa dikirim sekaligus."
"Please define a correct Cookie instance.","Harap tetapkan contoh Cookie yang benar."
"Please define a correct Product instance.","Harap tetapkan contoh Produk yang benar."
"Please define the correct Sender information.","Harap tetapkan informasi Pengirim yang benar."
"Recipient:","Penerima:"
"Remove Email","Hilangkan Email"
"Select Email Template","Pilih Template Email"
"Send Email","Kirim Email"
"Send product to a friend","Kririm produk ke teman"
"Sender:","Pengirim:"
"Some emails were not sent.","Beberapa email tidak terkirim."
"The link to a friend was sent.","Link ke teman terkirim."
"The message cannot be empty.","Pesannya tidak boleh kosong."
"The messages cannot be sent more than %d times in an hour","Pesan tidak dapat dikirim lebih dari %d kali dalam satu jam"
"The sender name cannot be empty.","Nama pengirim tidak boleh kosong."
"There were some problems with the data.","Ada beberapa masalah dengan data."
"You have exceeded limit of %d sends in an hour","Anda telah melampaui batas %d kirim dalam satu jam"
