"Action","Tindakan"
"An error occurred while creating the backup.","Kesalahan ditemukan ketika membuat backup."
"An error occurred while writing to the backup file ""%s"".","Kesalahan ditemukan ketika mengubah/menulis pada file backup ""%s""."
"Are you sure you want to delete the selected backup(s)?","Anda yakin ingin menghapus backup yang dipilih(s)?"
"Backup Type","Tipe Backup"
"Backup file ""%s"" cannot be read from or written to.","File backup ""%s"" tidak bisa dibaca atau diubah/tulis."
"Backup file ""%s"" does not exist.","File backup ""%s"" tidak ditemukan."
"Backup file does not exist.","File backup tidak ditemukan."
"Backup file handler was unspecified.","Penanganan file backup tidak ditentukan."
"Backup file not found","File backup tidak ditemukan"
"Backup file path was not specified.","Path file backup tidak ditentukan."
"Backups","Backups"
"Cannot read backup file.","Tidak bisa membaca file backup."
"Create Backup","Membuat Backup"
"Database","Database"
"Database Backup","Database Backup"
"Database and Media","Database dan Media"
"Database and Media Backup","Database dan Backup Media"
"Database was successfuly backed up.","Database telah berhasil di backup."
"Download","Unduh"
"Enable Scheduled Backup","Aktifkan Backup Terjadwal"
"Failed to connect to FTP","Gagal menghubungkan ke FTP"
"Failed to delete one or several backups.","Gagal menghapus satu atau beberapa backup."
"Failed to rollback","Gagal me-rollback"
"Failed to validate FTP","Gagal memvalidasi FTP"
"Frequency","Frekuensi"
"Invalid Password.","Kata sandi Tidak valid."
"Maintenance Mode","Mode Pemeliharaan"
"Name","Nama"
"Not enough free space to create backup.","Tidak cukup ruang untuk membuat backup."
"Not enough permissions to create backup.","Tidak cukup izin untuk membuat backup."
"Not enough permissions to perform rollback","Tidak cukup izin untuk melakukan rollback"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Dimohon untuk membatalkan salah satu pilihan centang dari ""Menempatkan toko di mode pemeliharaan"" atau perbaharui izin untuk melanjutkan backup."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Dimohon untuk membatalkan salah satu pilihan centang dari ""Menempatkan toko di mode pemeliharaan"" atau perbaharui izin untuk melanjutkan rollback."""
"Put store on the maintenance mode while backup's creation","Tempatkan toko dalam mode pemeliharaan ketika pembuatan backup"
"Rollback","Rollback"
"Scheduled Backup Settings","Pengaturan Backup Terjadwal"
"Size, Bytes","Ukuran, Bytes"
"Start Time","Waktu Mulai"
"System","Sistem"
"System (excluding Media)","Sistem (kecuali Media)"
"System Backup","Backup Sistem"
"System couldn't put store on the maintenance mode","Sistem tidak dapat menempatkan toko dalam mode pemeliharaan"
"The database and media backup has been created.","Backup database dan media telah berhasil dibuat."
"The database backup has been created.","Backup database telah berhasil dibuat."
"The file was compressed with Zlib, but this extension is not installed on server.","File dikompres dengan Zlib, tapi ekstensi ini tidak terinstal pada server."
"The selected backup(s) has been deleted.","Backup yang dipilih(s) sudah terhapus."
"The system (excluding Media) backup has been created.","Backup sistem (kecuali Media) telah terbuat."
"The system backup has been created.","Backup sistem telah berhasil dibuat."
"Time","Waktu"
"Type","Tipe"
"Unable to create backup. Please, try again later.","Tidak dapat membuat backup. Mohon, coba lagi nanti."
"Unable to save the cron expression.","Tidak dapat menyimpan ekspresi cron."
"Wrong order of creation for new backup.","Kesalahan urutan pembuatan backup baru."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Anda tidak memiliki izin yang cukup untuk mengaktifkan Mode Pemeliharaan selama operasi ini."
