" Select Shipping Method"," Pilih Metode Pengiriman"
"<br/>Trace confirmation request:<br/>%s","<br/>Konfirmasi permintaan jejak:<br/>%s"
"Access Key","Akses Key"
"Access Key ID","ID Akses Key"
"Amazon Simple Pay","Amazon Simple Pay"
"Amazon Simple Pay notification error","Kesalahan terjadi pada pemberitahuan Amazon Simple Pay"
"Amazon Simple Pay service capture confirmation error: confirmation request amount is not equal to the amount of order.","Kesalahan pada konfirmasi Amazon Simple Pay service: permintaan jumlah konfirmasi tidak sesuai/cocok dengan jumlah pesanan."
"Amazon Simple Pay service capture confirmation error: the amount in the existing invoice does not match the amount in the confirmation request.","Kesalahan pada konfirmasi Amazon Simple Pay service: jumlah pada tagihan yang ada tidak sesuai/cocok pada permintaan konfirmasi."
"Amazon Simple Pay service capture confirmation error: the existing transaction ID does not match the transaction ID in the confirmation request.","Kesalahan pada konfirmasi Amazon Simple Pay service: ID transaksi yang ada tidak sama dengan ID transaksi pada  permintaan konfirmasi."
"Amazon Simple Pay service capture confirmation. The invoice was captured automatically.","Konfirmasi Amazon Simple Pay service. Tagihan ter-capture secara otomatis."
"Amazon Simple Pay service confirmation error: order states sequence violation.","Kesalahan pada konfirmasi Amazon Simple Pay service: rangkaian kesalahan urutan pesanan."
"Amazon Simple Pay service confirmation error: the order currency does not match the currency of the IPN request.","Kesalahan pada konfirmasi Amazon Simple Pay service: mata uang pada pesanan tidak cocok dengan mata uang dari permintaan IPN."
"Amazon Simple Pay service confirmation error: the order specified in the IPN request cannot be found.","Kesalahan pada konfirmasi Amazon Simple Pay service: order yang ditentukan pada permintaan IPN tidak dapat ditemukan."
"Amazon Simple Pay service confirmation error: the payment method in the order is not Amazon Simple Pay.","Kesalahan pada konfirmasi Amazon Simple Pay service: metode pembayaran pada pesanan bukan Amazon Simple Pay."
"Amazon Simple Pay service confirmed capture for invoice %s.","Amazon Simple Pay service terkonfirmasi men-capture tagihan %s."
"Amazon Simple Pay service confirmed refund for credit memo %s.","Amazon Simple Pay service lah mengkonfirmasi pengembalian uang untuk credit memo %s."
"Amazon Simple Pay service has confirmed amount authorization.","Amazon Simple Pay service telah mengkonfirmasi jumlah otorisasi."
"Amazon Simple Pay service has confirmed cancelation.","Amazon Simple Pay service telah mengkonfirmasi pembatalan."
"Amazon Simple Pay service has confirmed capture for invoice %s. The invoice was automatically captured.","Amazon Simple Pay service telah terkonfirmasi men-capture tagihan %s. tagihan telah otomatis ter-capture."
"Amazon Simple Pay service has confirmed capture initiation.","Amazon Simple Pay service telah terkonfirmasi men-capture inisisasi."
"Amazon Simple Pay service has confirmed capture.","Amazon Simple Pay service terkonfirmasi men-capture."
"Amazon Simple Pay service has confirmed payment capture. Invoice %s was automatically created after confirmation.","Amazon Simple Pay service terkonfirmasi men-capture pembayaran. Tagihan %s telah otomatis terbuat setelah konfirmasi."
"Amazon Simple Pay service has confirmed payment capture. Invoice was created automatically.","Amazon Simple Pay service terkonfirmasi men-capture pembayaran. Tagihan otomatis dibuat."
"Amazon Simple Pay service has confirmed payment refund. Credit memo %s was automatically created after confirmation.","Amazon Simple Pay service telah mengkonfirmasi pengembalian pembayaran. Credit memo %s telah otomatis terbuat setelah konfirmasi."
"Amazon Simple Pay service has confirmed payment refund. Credit memo was created automatically.","Amazon Simple Pay service telah mengkonfirmasi pengembalian pembayaran. Credit memo otomatis dibuat."
"Amazon Simple Pay service has confirmed payment refund. The credit memo was created automatically.","Amazon Simple Pay service telah mengkonfirmasi pengembalian pembayaran. Credit memo otomatis dibuat."
"Amazon Simple Pay service has confirmed refund.","Amazon Simple Pay service telah mengkonfirmasi pengembalian."
"Amazon Simple Pay service has confirmed refund. The credit memo was processed automatically.","Amazon Simple Pay service telah mengkonfirmasi pengembalian. Credit memo otomatis diproses."
"Amazon Simple Pay service has confirmed refunded credit memo %s. The credit memo was processed automatically.","Amazon Simple Pay service telah mengkonfirmasi pengembalian credit memo %s. Credit memo otomatis diproses."
"Amazon Simple Pay service is not available. Payment was not processed.","Amazon Simple Pay service tidak tersedia. Pembayaran tidak terproses."
"Amazon Simple Pay service payment confirmation has failed.","Amazon Simple Pay service gagal mengkonfirmasi pembayaran."
"Amazon Simple Pay service refund confirmation error: the amount in the existing creditmemo does not match the amount in the confirmation request.","Terjadi kesalahan pada konfirmasi Amazon Simple Pay service: jumlah creditmemo yang ada tidak sesuai/cocok dengan jumlah pada permintaan konfirmasi."
"Amazon Simple Pay service refund confirmation error: the confirmation request amount does not match the order amount.","Terjadi kesalahan pada konfirmasi Amazon Simple Pay service: jumlah permintaan konfirmasi tidak sesuai/cocok dengan jumlah pesanan."
"Amazon Simple Pay service refund confirmation error: the transaction ID in the existing creditmemo does not match the transaction ID in the confirmation request.","Terjadi kesalahan pada konfirmasi Amazon Simple Pay service: ID transaksi pada creditmemo yang ada tidak sesuai/cocok dengan ID transaksi pada permintaan konfirmasi."
"Authorize Only","Hanya yang Berotoritas"
"Authorize and Capture","Otoritas dan Capture"
"Cancel Description","Batalkan Deskripsi"
"Cancel Order Notification received from Checkout by Amazon service.","Batalkan Pemberitahuan Pesanan yang diterima dari Checkout oleh service Amazon."
"Checkout by Amazon","Checkout oleh Amazon"
"Continue Shopping","Lanjut Belanja"
"Customer was redirected to Amazon Simple Pay site","Pelanggan dialihkan mennuju situs Amazon Simple Pay"
