"""Remember Me"" Default Value","""Ingat Saya "" Nilai Standar"
"(Not %s?)","(Tidak %s?)"
"* Required Fields","* Field Wajib"
"Address","Alamat"
"Address Information","Informasi Alamat"
"Already registered?","Sudah Terdaftar?"
"Back","Kembali"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Dengan membuat akun pada toko kami, Anda akan bisa bergerak melalui proses checkout lebih cepat, Menyimpan beberapa alamat pengiriman, Melihat dan melacak pesanan di akun Anda dan banyak lagi."
"Cannot load configuration from file %s.","Tidak dapat memuat konfigurasi dari file %s."
"Checkout as Guest","Ke Kasir sebagai Pengunjung"
"Checkout as a Guest or Register","Ke Kasir sebagai Pengunjung atau Daftar"
"City","Kota"
"Clear Persistence on Log Out","Bersihkan Kontinuitas pada Keluar"
"Close","Tutup"
"Company","perusahaan"
"Confirm Password","Konfirmasi Kata sandi"
"Continue","Lanjutkan"
"Country","Negara"
"Create an Account","Buat Akun"
"Easy access to your order history and status","Akses mudah ke riwayat dan status pesanan Anda"
"Email Address","Alamat Email"
"Enable ""Remember Me""","Nyalakan ""Ingat Saya"""
"Enable Persistence","Nyalakan Kontinuitas"
"Fast and easy check out","Cepat dan mudah ke kasir"
"Fax","Fax"
"Forgot Your Password?","Lupa Kata sandi Anda?"
"Forgot your password?","Lupa kata sandi anda?"
"General Options","Opsi Umum"
"If you have an account with us, please log in.","Jika Anda memiliki akun dengan kami, silakan masuk."
"Loading next step...","Memuat langkah selanjutnya..."
"Login","Masuk"
"Login Information","Informasi Masuk"
"Login or Create an Account","Masuk atau Buat Akun"
"New Customers","pelanggan Baru"
"Password","Kata Sandi"
"Persist Shopping Cart","Kontinuitas Troli"
"Persistence Lifetime (seconds)","Masa Kontinuitas (detik)"
"Persistent Shopping Cart","Kontinuitas Troli"
"Personal Information","Informasi Pribadi"
"Please log in below:","Silahkan masuk dibawah:"
"Please select region, state or province","Silahkan pilih wilayah, negara atau provinsi"
"Register","Daftar"
"Register and save time!","Daftar dan hemat waktu!"
"Register to Create an Account","Daftar untuk Membuat Akun"
"Register with us for future convenience:","Daftarkan diri kami untuk kenyamanan di masa depan:"
"Registered Customers","Pelanggan Terdaftar"
"Remember Me","Ingat Saya"
"Save in address book","Simpan dalam buku alamat"
"Select State/Province...","Pilih Negara/Provinsi..."
"Select a billing address from your address book or enter a new address.","Pilih alamat penagihan dari buku alamat Anda atau masukkan alamat baru."
"Ship to different address","Kirim ke alamat yang berbeda"
"Ship to this address","Kirim ke alamat ini"
"Shopping cart has been updated with appropriate prices","Troli telah diperbarui dengan harga yang sesuai"
"Sign Up for Newsletter","Daftar untuk Buletin"
"State/Province","Negara/Provinsi"
"Street Address","Alamat Jalan"
"Street Address %s","Alamat Jalan %s"
"Submit","Menyerahkan"
"Telephone","Telepon"
"To proceed to Checkout, please log in using your email address.","Untuk melanjutkan ke Kasir, silahkan masuk menggunakan alamat email anda."
"VAT Number","Nomer VAT"
"Welcome, %s!","Selamat Datang, %s!"
"What\'s this?","Apa ini?"
"Zip/Postal Code","Kode Pos"
